(disp A)I(A);(disp B)V (V);Resistencia (V/I)
0.00;00.0;-
0.00;01.0;-
0.01;02.0;200
0.01;03.0;300
0.02;04.0;200
0.03;05.0;166
0.03;06.0;200
0.04;07.0;175
0.04;08.0;200
0.05;09.0;180
0.05;10.0;200
0.06;11.0;183
0.07;12.0;171
0.07;13.0;185
0.08;14.0;175
0.08;15.0;187
0.08;16.0;200
